contract_id,dataset,has_claim,expected_loss,actual_loss
CTR_000005,Train,0,91.80121641144177,0.0
CTR_000012,Test,0,91.80121641144177,0.0
CTR_000015,Train,0,91.80121641144177,0.0
CTR_000016,Train,0,91.80121641144177,0.0
CTR_000018,Test,0,91.80121641144177,0.0
CTR_000022,Train,0,91.80121641144177,0.0
CTR_000023,Train,0,91.80121641144177,0.0
CTR_000024,Train,0,91.80121641144177,0.0
CTR_000026,Train,0,91.80121641144177,0.0
CTR_000031,Test,0,91.80121641144177,0.0
CTR_000032,Train,0,91.80121641144177,0.0
CTR_000035,Test,0,91.80121641144177,0.0
CTR_000040,Train,1,91.80121641144177,2015.98
CTR_000043,Train,0,91.80121641144177,0.0
CTR_000045,Train,0,91.80121641144177,0.0
CTR_000047,Train,0,91.80121641144177,0.0
CTR_000048,Train,0,91.80121641144177,0.0
CTR_000054,Test,0,91.80121641144177,0.0
CTR_000056,Train,0,91.80121641144177,0.0
CTR_000057,Train,0,91.80121641144177,0.0
CTR_000060,Test,0,91.80121641144177,0.0
CTR_000061,Train,0,91.80121641144177,0.0
CTR_000064,Train,0,91.80121641144177,0.0
CTR_000066,Train,0,91.80121641144177,0.0
CTR_000070,Train,0,91.80121641144177,0.0
CTR_000074,Train,0,91.80121641144177,0.0
CTR_000078,Train,0,91.80121641144177,0.0
CTR_000080,Train,0,91.80121641144177,0.0
CTR_000087,Train,0,91.80121641144177,0.0
CTR_000103,Train,0,91.80121641144177,0.0
CTR_000107,Train,0,91.80121641144177,0.0
CTR_000111,Train,0,91.80121641144177,0.0
CTR_000115,Train,0,91.80121641144177,0.0
CTR_000117,Train,0,91.80121641144177,0.0
CTR_000118,Train,0,91.80121641144177,0.0
CTR_000120,Test,0,91.80121641144177,0.0
CTR_000122,Test,0,91.80121641144177,0.0
CTR_000127,Test,0,91.80121641144177,0.0
CTR_000129,Train,0,91.80121641144177,0.0
CTR_000131,Test,0,91.80121641144177,0.0
CTR_000137,Train,0,91.80121641144177,0.0
CTR_000138,Test,0,91.80121641144177,0.0
CTR_000141,Train,0,91.80121641144177,0.0
CTR_000142,Train,0,91.80121641144177,0.0
CTR_000143,Train,0,91.80121641144177,0.0
CTR_000154,Train,0,91.80121641144177,0.0
CTR_000158,Train,0,91.80121641144177,0.0
CTR_000162,Test,0,91.80121641144177,0.0
CTR_000163,Train,0,91.80121641144177,0.0
CTR_000168,Train,0,91.80121641144177,0.0
CTR_000173,Train,0,91.80121641144177,0.0
CTR_000176,Test,0,91.80121641144177,0.0
CTR_000177,Train,0,91.80121641144177,0.0
CTR_000179,Train,0,91.80121641144177,0.0
CTR_000180,Train,0,91.80121641144177,0.0
CTR_000185,Train,0,91.80121641144177,0.0
CTR_000186,Train,0,91.80121641144177,0.0
CTR_000188,Train,0,91.80121641144177,0.0
CTR_000191,Train,0,91.80121641144177,0.0
CTR_000193,Train,0,91.80121641144177,0.0
CTR_000195,Train,0,91.80121641144177,0.0
CTR_000197,Train,0,91.80121641144177,0.0
CTR_000200,Train,0,91.80121641144177,0.0
CTR_000201,Test,0,91.80121641144177,0.0
CTR_000202,Train,0,91.80121641144177,0.0
CTR_000203,Test,0,91.80121641144177,0.0
